pool_id,date,tvl_usd
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18752,2583109.0061923517
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18753,26497321.788945712
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18754,53606223.06188992
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18755,51394114.5471268
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18756,55785913.864669755
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18757,40934403.68032563
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18758,62367473.08320165
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18759,63756359.51439871
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18760,70641656.60906377
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18761,83824246.04513632
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18762,83547973.1716593
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18763,109971210.81053174
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18764,104043744.73465732
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18765,141069587.9258226
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18766,83935009.3062738
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18767,91144942.12011363
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18768,76090475.02647147
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18769,75290185.16841114
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18770,53766051.78744795
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18771,65323027.485140204
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18772,75945149.42047991
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18773,99807873.86817144
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18774,113991642.05566277
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18775,99728466.45528394
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18776,93187075.41620098
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,18777,96033031.83804937
0x9db9e0e53058c89e5b94e29621a205198648425b,18752,1177.2729630301433
0x9db9e0e53058c89e5b94e29621a205198648425b,18753,1129237.555696013
0x9db9e0e53058c89e5b94e29621a205198648425b,18754,2657732.313224943
0x9db9e0e53058c89e5b94e29621a205198648425b,18755,1348556.64386029
0x9db9e0e53058c89e5b94e29621a205198648425b,18756,1401168.9788492792
0x9db9e0e53058c89e5b94e29621a205198648425b,18757,1372874.1628351954
0x9db9e0e53058c89e5b94e29621a205198648425b,18758,1430586.4284267323
0x9db9e0e53058c89e5b94e29621a205198648425b,18759,1295406.2991836723
0x9db9e0e53058c89e5b94e29621a205198648425b,18760,1443886.9963826211
0x9db9e0e53058c89e5b94e29621a205198648425b,18761,1557854.1032872843
0x9db9e0e53058c89e5b94e29621a205198648425b,18762,1403552.9032592666
0x9db9e0e53058c89e5b94e29621a205198648425b,18763,1402324.7466361548
0x9db9e0e53058c89e5b94e29621a205198648425b,18764,1249785.4148524678
0x9db9e0e53058c89e5b94e29621a205198648425b,18765,1216312.369970565
0x9db9e0e53058c89e5b94e29621a205198648425b,18766,1083342.0384597152
0x9db9e0e53058c89e5b94e29621a205198648425b,18767,1164213.8975329709
0x9db9e0e53058c89e5b94e29621a205198648425b,18768,1071043.768578947
0x9db9e0e53058c89e5b94e29621a205198648425b,18769,1061224.729001209
0x9db9e0e53058c89e5b94e29621a205198648425b,18770,1049442.2356108068
0x9db9e0e53058c89e5b94e29621a205198648425b,18771,147878.80498353534
0x9db9e0e53058c89e5b94e29621a205198648425b,18772,351388.9781523917
0x9db9e0e53058c89e5b94e29621a205198648425b,18773,1398329.8997400533
0x9db9e0e53058c89e5b94e29621a205198648425b,18774,405075.20224955474
0x9db9e0e53058c89e5b94e29621a205198648425b,18775,245852.57966608516
0x9db9e0e53058c89e5b94e29621a205198648425b,18776,241180.4287664324
0x9db9e0e53058c89e5b94e29621a205198648425b,18777,305707.2618657757
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18752,44565.32742150437
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18753,326007.4547253006
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18754,228240.39725750967
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18755,232881.7339284197
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18756,866113.4973676285
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18757,257901.19432527287
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18758,266298.26823562244
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18759,142383.6184323816
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18760,349156.6637609242
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18761,384292.53461537184
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18762,335477.92958730605
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18763,285075.5380357395
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18764,260619.43853412793
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18765,268082.3047913307
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18766,104254.94769157308
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18767,137554.9762373461
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18768,113122.34753864352
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18769,169166.6694768487
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18770,127632.0861315315
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18771,146510.23878784178
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18772,146181.97779288798
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18773,1337639.735503797
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18774,154586.2447362285
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18775,220275.6408825141
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18776,231492.1335132307
0xc5af84701f98fa483ece78af83f11b6c38aca71d,18777,235745.33876001576
0x11b815efb8f581194ae79006d24e0d814b7697f6,18752,25743.22138922386
0x11b815efb8f581194ae79006d24e0d814b7697f6,18753,58456.422409961386
0x11b815efb8f581194ae79006d24e0d814b7697f6,18754,2856573.7578995195
0x11b815efb8f581194ae79006d24e0d814b7697f6,18755,2142011.6629190864
0x11b815efb8f581194ae79006d24e0d814b7697f6,18756,1498643.8674008013
0x11b815efb8f581194ae79006d24e0d814b7697f6,18757,1841080.961221325
0x11b815efb8f581194ae79006d24e0d814b7697f6,18758,1396551.0723354628
0x11b815efb8f581194ae79006d24e0d814b7697f6,18759,1101858.9823542156
0x11b815efb8f581194ae79006d24e0d814b7697f6,18760,607796.8655484138
0x11b815efb8f581194ae79006d24e0d814b7697f6,18761,213560.3359563215
0x11b815efb8f581194ae79006d24e0d814b7697f6,18762,203021.37819254008
0x11b815efb8f581194ae79006d24e0d814b7697f6,18763,201754.4047309853
0x11b815efb8f581194ae79006d24e0d814b7697f6,18764,193672.41502512735
0x11b815efb8f581194ae79006d24e0d814b7697f6,18765,204003.42875729446
